batter,total_runs,balls_faced,total_fours,total_sixes,total_matches,batting_average,strike_rate,boundary_runs
HV Patel,249,214,16,15,37,6.73,116.36,154
Atharva Taide,247,177,27,8,9,27.44,139.55,156
K Gowtham,247,159,15,17,27,9.15,155.35,162
SM Katich,241,191,26,8,11,21.91,126.18,152
BCJ Cutting,238,146,15,19,17,14.0,163.01,174
MD Mishra,237,213,24,8,17,13.94,111.27,144
Harpreet Brar,233,201,19,9,24,9.71,115.92,130
A Manohar,231,181,21,10,15,15.4,127.62,144
D Brevis,230,176,17,16,10,23.0,130.68,164
WG Jacks,230,133,16,18,8,28.75,172.93,172
R Ravindra,222,146,22,12,10,22.2,152.05,160
Mohammad Nabi,221,157,18,12,19,11.63,140.76,144
K Goel,218,239,17,9,16,13.62,91.21,122
AA Jhunjhunwala,217,218,19,5,15,14.47,99.54,106
R Dhawan,210,188,18,7,22,9.55,111.7,114
UT Yadav,208,211,16,9,48,4.33,98.58,118
K Rabada,206,207,16,8,28,7.36,99.52,112
CA Ingram,205,183,22,5,15,13.67,112.02,118
PD Collingwood,203,159,9,13,7,29.0,127.67,114
JC Archer,199,132,11,14,23,8.65,150.76,128
KS Bharat,199,168,12,8,8,24.88,118.45,96
SK Warne,198,219,14,6,27,7.33,90.41,92
JD Unadkat,197,170,16,7,27,7.3,115.88,106
SP Fleming,196,171,27,3,10,19.6,114.62,126
AS Raut,194,172,13,7,16,12.12,112.79,94
BJ Rohrer,193,146,21,5,8,24.12,132.19,114
Salman Butt,193,172,30,2,7,27.57,112.21,132
YV Takawale,192,183,26,3,10,19.2,104.92,122
HC Brook,190,159,23,4,11,17.27,119.5,116
Ashutosh Sharma,189,118,10,15,9,21.0,160.17,130
Bipul Sharma,187,124,11,9,17,11.0,150.81,98
Kuldeep Yadav,183,224,16,3,32,5.72,81.7,82
SD Hope,183,125,12,12,9,20.33,146.4,120
MS Wade,183,185,23,2,14,13.07,98.92,104
FY Fazal,183,179,22,1,11,16.64,102.23,94
Sikandar Raza,182,143,12,8,9,20.22,127.27,96
CR Brathwaite,181,120,10,16,14,12.93,150.83,136
AC Voges,181,143,15,3,7,25.86,126.57,78
S Gopal,180,173,19,2,22,8.18,104.05,88
AB Agarkar,179,160,13,5,18,9.94,111.88,82
MF Maharoof,177,124,12,9,14,12.64,142.74,102
C Munro,177,144,19,8,11,16.09,122.92,124
DH Yagnik,170,142,23,2,17,10.0,119.72,104
Ramandeep Singh,170,106,8,13,13,13.08,160.38,110
CM Gautam,169,158,17,6,13,13.0,106.96,104
MG Johnson,167,168,10,7,28,5.96,99.4,82
DW Steyn,167,163,14,3,33,5.06,102.45,74
MN van Wyk,167,135,19,1,5,33.4,123.7,82
PA Reddy,164,167,15,2,10,16.4,98.2,72
A Raghuvanshi,163,109,16,8,7,23.29,149.54,112
N Jagadeesan,162,155,21,2,10,16.2,104.52,96
MN Samuels,161,174,9,7,14,11.5,92.53,78
RE van der Merwe,159,144,11,8,15,10.6,110.42,92
R McLaren,159,178,14,1,13,12.23,89.33,62
AD Hales,148,119,13,6,6,24.67,124.37,88
D Wiese,148,105,12,7,11,13.45,140.95,90
SM Pollock,147,116,12,8,8,18.38,126.72,96
S Vidyut,145,115,21,3,8,18.12,126.09,102
Sachin Baby,144,123,11,5,11,13.09,117.07,74
N Saini,140,143,16,0,10,14.0,97.9,64
Naman Dhir,140,84,12,10,7,20.0,166.67,108
Anmolpreet Singh,139,117,19,3,9,15.44,118.8,94
S Anirudha,136,121,9,7,12,11.33,112.4,78
SB Styris,131,134,10,3,10,13.1,97.76,58
W Jaffer,130,129,14,3,8,16.25,100.78,74
RD Chahar,129,127,13,5,22,5.86,101.57,82
Kamran Akmal,128,78,13,8,6,21.33,164.1,100
UT Khawaja,127,105,14,3,6,21.17,120.95,74
P Dogra,127,141,4,5,12,10.58,90.07,46
TK Curran,127,108,10,3,10,12.7,117.59,58
SS Prabhudessai,126,113,11,4,10,12.6,111.5,68
M Morkel,126,93,11,5,20,6.3,135.48,74
